Time,S5_H,S6_H,S7_H,S8_H,S9_H,S14_H,S5_PM1,S5_PM25,S5_PM10,S5_CO,S5_NO2,S6_PM1,S6_PM25,S6_PM10,S6_CO,S6_NO2,S7_PM1,S7_PM25,S7_PM10,S7_CO,S7_NO2,S8_PM1,S8_PM25,S8_PM10,S8_CO,S8_NO2,S9_PM1,S9_PM25,S9_PM10,S9_CO,S9_NO2,S14_PM1,S14_PM25,S14_PM10,S14_CO,S14_NO2
02.10.22 13:00,45.95506019,44.6690019,49.58144692,46.99004586,33.27320662,41.05690752,1.44625,2.83625,4.106666667,0.146406467,2.047212282,1.811666667,4.191666667,6.7225,0.003386923,1.961796735,3.084166667,5.420833333,7.715833333,0.047771009,0.825446928,4.311666667,9.386833333,14.07616667,2.295392633,4.209592176,0.715,1.076666667,1.388333333,0.42743833,0.378063794,7.856666667,9.2275,10.12083333,12.28722762,1.016809391
02.10.22 14:00,45.77155515,44.67445876,46.22615124,48.08482927,33.26730633,40.76231499,1.0975,3.224583333,5.22875,0.146406467,1.944773491,1.6125,3.410833333,5.2975,0.003386923,1.975059969,2.9075,5.15,7.3575,0.046546504,1.091395766,9.822166667,19.50920833,28.37020833,2.990538817,5.333114488,0.799270833,2.278819444,3.674097222,0.454482086,0.361155889,5.218333333,6.96875,8.376666667,17.90281155,1.170390596
02.10.22 15:00,47.15183926,44.51376732,45.64918499,48.0782878,33.8438582,40.51110529,2.398333333,6.34625,10.04708333,0.146406467,1.906918485,1.374166667,2.711666667,4.095,0.003386923,1.949731026,2.584166667,4.063333333,5.438333333,0.046546504,1.191273423,2.096847222,5.538208333,8.763069444,3.360313459,5.110940015,0.7718125,1.712125,2.583458333,0.420089145,0.361172571,1.551666667,4.83125,7.929583333,12.28490951,1.277734329
02.10.22 16:00,47.89705551,44.17555906,45.91770508,46.89460418,35.33843396,39.80461289,1.754166667,5.213333333,8.473333333,0.146406467,2.008361234,1.897916667,3.99125,6.182083333,0.003386923,1.918750645,3.240833333,5.15,6.9425,0.045934252,1.28237914,2.529166667,5.99275,9.215583333,3.036191422,4.287562857,1.293361111,3.715861111,5.997305556,0.528554798,0.326511557,1.313333333,2.860833333,4.292916667,11.25085041,1.369687163
02.10.22 17:00,45.83570847,44.1367461,45.24439635,44.34970968,36.68984896,40.28663527,1.164583333,2.903333333,4.522083333,0.185273858,2.010738873,1.49625,3.737916667,6.143333333,0.003386923,1.962149551,2.698333333,4.9875,7.271666667,0.036591884,1.400532453,2.126083333,5.354583333,8.371875,1.981002493,3.929897996,1.140555556,3.031805556,4.800277778,0.497495064,0.307717067,1.265297619,3.142619048,4.898214286,11.21766289,1.336861623
02.10.22 18:00,43.98685811,44.27472037,44.78518584,44.2339806,36.78208992,41.44226711,1.476666667,4.138333333,6.638333333,0.149600582,2.227884852,1.122916667,2.59625,4.162916667,0.003386923,1.980899691,4.465,6.2725,7.8,0.035977721,1.467071434,2.643875,6.307833333,9.718375,1.521589342,4.352334264,1.260416667,2.11875,2.882083333,0.633487918,0.331801859,1.772202381,4.816130952,7.673869048,10.09874374,1.31552714
02.10.22 19:00,44.18059414,44.40211118,44.84324847,42.51404803,36.96148914,42.64055188,1.185,3.34,5.363333333,0.14563553,2.16383455,1.710833333,3.771666667,5.9475,0.003386923,1.991080949,2.966666667,5.1225,7.226666667,0.033697156,1.498846535,4.085833333,8.137944444,11.84377778,0.849969015,5.053725587,1.775416667,5.367083333,8.75875,0.649389526,0.285268561,1.567083333,2.652916667,3.619583333,10.58630106,1.301956697
02.10.22 20:00,43.69289614,44.39801765,44.50756388,43.09502994,37.42492345,43.55499149,1.61625,4.490416667,7.19125,0.146406467,2.000628542,1.924166667,4.98,8.2775,0.003386923,1.993167507,2.80125,5.662916667,8.592916667,0.032556873,1.500124122,3.326333333,6.763,9.916166667,0.991621558,4.743325169,1.14375,2.665,4.07625,0.635704945,0.332615921,1.21125,2.955833333,4.579583333,8.891586814,1.372813916
02.10.22 21:00,45.16269994,44.47371519,44.00162645,44.01087213,37.83255344,43.74091089,2.017083333,3.21875,4.272916667,0.14563553,1.959433753,1.18125,3.129166667,5.235,0.003971642,1.92047172,4.590833333,7.466666667,10.19833333,0.032556873,1.479643006,2.813833333,5.7965,8.537666667,1.388577404,4.567106652,1.34,3.833333333,6.18,0.688528991,0.335471605,1.59625,4.859583333,7.938333333,8.652775676,1.382341466
02.10.22 22:00,45.20635304,44.4677581,44.18653288,44.40869653,37.67043442,43.61785699,1.87625,3.920416667,5.7975,0.146406467,1.95669357,1.302083333,2.855833333,4.493333333,0.003386923,1.982277064,6.5525,10.22333333,13.625,0.03540758,1.449402955,2.349166667,5.7365,8.8945,1.626566112,4.48849613,1.107916667,1.862083333,2.532083333,0.937401447,0.255159034,1.098333333,2.413541667,3.629375,8.374328243,1.317416136
